id,name,url-github,url-readthedocs,creationdate
DC2023c,"2023d DC global altimetry mapping OSE","https://github.com/ocean-data-challenges/2023a_SSH_mapping_OSE","https://2023a-ssh-mapping-ose.readthedocs.io",2023
DC2024a,"2024 WOC-ESA Data Challenge","https://github.com/ocean-data-challenges/2024_DC_WOC-ESA","https://2024-dc-woc-esa.readthedocs.io/en/latest/",2024
